Nombre: CARMEN CORRALES, Edad: 2, Pais: Riad
Nombre: MARTA VILLALTA, Edad: 16, Pais: Maseru
Nombre: MANUEL DELGADO, Edad: 71, Pais: Azerbaiyán
Nombre: MARIA SALAS, Edad: 1, Pais: Managua
Nombre: ISABEL VEGA, Edad: 20, Pais: Jordania
Nombre: FELICIA VEGA, Edad: 84, Pais: Damasco
Nombre: ADINA CARPIO, Edad: 38, Pais: Libia
Nombre: CLAUDIA MANUELA ESPINOZA, Edad: 11, Pais: Finlandia
Nombre: CLAUDIA MANUELA ESPINOZA, Edad: 82, Pais: Ucrania
Nombre: CLAUDIA MANUELA ESPINOZA, Edad: 78, Pais: Islas Marshall
Nombre: MARINA HERRERA, Edad: 20, Pais: Costa Rica
Nombre: MARINA HERRERA, Edad: 28, Pais: Palau
Nombre: MARINA HERRERA, Edad: 62, Pais: Norfolk Island
Nombre: MARINA HERRERA, Edad: 31, Pais: Australia
Nombre: JOSE MENA, Edad: 26, Pais: Islas Caimán
Nombre: CARMEN ARIAS, Edad: 76, Pais: Pakistán
Nombre: MARINA ASTUA, Edad: 61, Pais: Islas Salomón
Nombre: MANUEL JIMENEZ, Edad: 14, Pais: Madrid
Nombre: MARINA QUIROS, Edad: 92, Pais: Bangladesh
Nombre: DELFINA SEGURA, Edad: 22, Pais: Sáhara Occidental
Nombre: LUCILA PORRAS, Edad: 23, Pais: Antillas Holandesas
Nombre: LUCILA PORRAS, Edad: 53, Pais: Timor Oriental
Nombre: LUCILA PORRAS, Edad: 91, Pais: Zambia
Nombre: BAUDILIO MORALES, Edad: 25, Pais: Grecia
Nombre: BAUDILIO MORALES, Edad: 64, Pais: Japón
Nombre: BAUDILIO MORALES, Edad: 82, Pais: Argelia
Nombre: ODILI SALAZAR, Edad: 28, Pais: Podgorica
Nombre: ELIAS ROJAS, Edad: 55, Pais: Quito
Nombre: ELIAS ROJAS, Edad: 15, Pais: Dublín
Nombre: MARIA MELENDEZ, Edad: 48, Pais: Lilongüe
Nombre: PANFILO SOLIS, Edad: 7, Pais: Colombia
Nombre: JOSEFINA VEGA, Edad: 25, Pais: Macao
Nombre: JOSEFINA VEGA, Edad: 5, Pais: Adís Abeba
Nombre: JOSEFINA VEGA, Edad: 22, Pais: Dodoma
Nombre: DINORA OBANDO, Edad: 25, Pais: Bahrein
Nombre: ABDENAGO MATA, Edad: 4, Pais: Yibuti
Nombre: MARIA CRISTINA DELGADO, Edad: 31, Pais: Conakri
