Nombre: RODOLFO RODRIGO ARAYA, Edad: 1, Pais: Sudáfrica
Nombre: NEFTALI MORA, Edad: 1, Pais: Kampala
Nombre: MODESTA VEGA, Edad: 1, Pais: Ecuador
Nombre: MARIA ELENA HERRERA, Edad: 1, Pais: Granada
Nombre: OSCAR CHANTO, Edad: 1, Pais: Canberra
Nombre: DALILA SANDINO, Edad: 1, Pais: Turquía
Nombre: MARIANO NATALIO DURAN, Edad: 1, Pais: Australia
Nombre: SILVINIA SOCORRO BADILLA, Edad: 1, Pais: Quito
Nombre: MIGUEL ARAYA, Edad: 1, Pais: Nigeria
Nombre: TERESA ACUÑA, Edad: 1, Pais: Pekín
Nombre: BLANCA DORA DELGADO, Edad: 1, Pais: Freetown
Nombre: VICTOR MANUEL BARRIENTOS, Edad: 1, Pais: Uagadugú
Nombre: JORGE LUIS SABORIO, Edad: 1, Pais: Islas Cocos
Nombre: JOSE MANUEL LOPEZ, Edad: 1, Pais: Taskent
Nombre: VIRGINIA MORA, Edad: 1, Pais: Kampala
Nombre: MARIA DE LOS ANGELES GUERRERO, Edad: 1, Pais: Yakarta
Nombre: NELLY VARGAS, Edad: 1, Pais: Vientián
Nombre: CARLOS LUIS FALLAS, Edad: 1, Pais: Teherán
Nombre: ALVARO QUESADA, Edad: 1, Pais: Praia
Nombre: MARIA ISABEL GRANADOS, Edad: 1, Pais: Yamena
Nombre: CARMEN MORA, Edad: 1, Pais: Madrid
Nombre: EDGAR QUIROS, Edad: 1, Pais: Angola
Nombre: JOSE FRANCISCO MONTERO, Edad: 1, Pais: Islas Turcas y Caicos
Nombre: CARMEN MARIA LUJAN, Edad: 1, Pais: Puerto España
Nombre: JOSE MESEN, Edad: 1, Pais: Vaduz
Nombre: GLORIA CHAVARRIA, Edad: 1, Pais: El Salvador
Nombre: VICTORIA CESPEDES, Edad: 1, Pais: Gaborone
Nombre: GRACE RODRIGUEZ, Edad: 1, Pais: Timor Oriental
Nombre: JOSE MARIA RODRIGUEZ, Edad: 1, Pais: Maldivas
Nombre: EMPERATRIZ SALAZAR, Edad: 1, Pais: Niue
Nombre: RONULFO ABARCA, Edad: 1, Pais: Praga
Nombre: JORGE MENA, Edad: 1, Pais: El Salvador
Nombre: LILIAM BRENES, Edad: 1, Pais: Tirana
Nombre: SANTIAGO MADRIGAL, Edad: 1, Pais: Bermudas
Nombre: CARLOS LUIS GARRO, Edad: 1, Pais: Tallin
Nombre: ALBA CASTRO, Edad: 1, Pais: Rabat
Nombre: ADALBERTO BARBOZA, Edad: 1, Pais: Dodoma
Nombre: MIGUEL ALFREDO VASQUEZ, Edad: 1, Pais: Isla Ascension
Nombre: ELBA CORRALES, Edad: 1, Pais: Asmara
Nombre: ANA CECILIA LOBO, Edad: 1, Pais: Tegucigalpa
Nombre: JOSE LUIS HERNANDEZ, Edad: 1, Pais: Azerbaiyán
Nombre: GUILLERMO BADILLA, Edad: 1, Pais: Panamá
Nombre: RODOLFO MOLINA, Edad: 1, Pais: Taipéi
Nombre: IRIS SANDOVAL, Edad: 1, Pais: Polinesia Francesa
Nombre: MARINA MESEN, Edad: 1, Pais: Polinesia Francesa
Nombre: EVANGELINA PEREZ, Edad: 1, Pais: Yaren
Nombre: ELIDA MENA, Edad: 1, Pais: Helsinki
Nombre: ILUMINADA BARBOZA, Edad: 1, Pais: Wallis y Futuna
Nombre: MARIA ANTONIETA MENA, Edad: 1, Pais: Sierra Leona
Nombre: OMAR MENDEZ, Edad: 1, Pais: Iraq
Nombre: MARIA CECILIA GUILLEN, Edad: 1, Pais: Rumanía
Nombre: LUIS ALBERTO QUESADA, Edad: 1, Pais: Praia
Nombre: NORA LILLIAM BRENES, Edad: 1, Pais: Antillas Holandesas
Nombre: CATALINA MORA, Edad: 1, Pais: Uganda
Nombre: URBANA CAMACHO, Edad: 1, Pais: Skopie
Nombre: AURELIA QUESADA, Edad: 1, Pais: Belice
Nombre: EMMA FERNANDEZ, Edad: 1, Pais: Angola
Nombre: BERTINA RIOS, Edad: 1, Pais: Guatemala
Nombre: MARIA CECILIA CALVO, Edad: 1, Pais: Lesotho
Nombre: MARIA CRISTINA RETANA, Edad: 1, Pais: Namibia
Nombre: MERCEDES AMAIDA CORDERO, Edad: 1, Pais: Yakarta
Nombre: ROBERTO SANCHEZ, Edad: 1, Pais: Ankara
Nombre: FERNANDO MONTOYA, Edad: 1, Pais: Uruguay
Nombre: DULCELINA FALLAS, Edad: 1, Pais: Riad
Nombre: DINORAH ROJAS, Edad: 1, Pais: Luxemburgo
Nombre: JENARO CASTILLO, Edad: 1, Pais: Abuya
Nombre: JENARO CASTILLO, Edad: 1, Pais: Lesotho
Nombre: JOSE JOAQUIN PORRAS, Edad: 1, Pais: Vaticano
